country,date,name,price,weight
nic,1/20/2022,mayonesa hellmanns pura doy pack ,45,0.2
nic,1/20/2022,salsa suli vegetales tipo inglesa,51,0.7
nic,1/20/2022,comino sol maya en polvo ,19,0.01
nic,1/20/2022,siropeeat value maple suga free ,79,0.71
nic,1/20/2022,vegetaleseat value mixtos ,40,0.42
nic,1/20/2022,aceite olivaeat value spray ,111,0.2
nic,1/20/2022,empanizador los patitos de pollo ,25,0.1
nic,1/20/2022,sweet peaseat value en lata ,40,0.42
nic,1/20/2022,galleta sabemas maria ,19,0.17
nic,1/20/2022,pasta macarron roma ,26,0.25
